equipment_id,equipment_type,location,age_days,runtime_hours,temperature,vibration_level,power_consumption_kw,humidity_level,error_codes_count,manual_override,downtime_last_30d,service_priority,failure_within_7_days
b'\xdd5&\xe2\x9aFA\x15\xa2\xbfZ\xdcM\x98\x8a8',Boiler,Building A,582,5058.51,98.48,3.61,24.55,39.78,0,0,2.06,Low,0
b'\xad\xe0\xa0\xa7\x19\xddJ*\xaa\xcc\x87\x83@\xbd\xd9\xad',Boiler,Building B,980,5069.8,71.15,3.17,23.31,53.29,2,1,5.68,Medium,0
b'E\x18\xcc\x94|\xfaA\x11\xadM\xd9\xb5\xbf$\x87Q',Boiler,Warehouse 2,1363,5439.33,73.92,2.27,21.04,49.14,1,0,3.37,Low,0
b'\xa0\x98SG\x06\xcdB\x0c\x94a{g\xa3Z\xc4f',Elevator,Building C,1158,4377.76,71.45,4.43,27.26,82.65,2,0,0.39,Low,0
b'\xb0\xc8l\x14brD/\xb9\x1f\x04\x83c\xad\x0f\x1d',Boiler,Building A,1718,5747.29,81.1,2.97,20.59,52.32,3,0,1.12,High,0
b'\xd4\x11&\xa3e\xd1I\xd9\xb7\xee\xfd\x821\xf7\xcd\xda',HVAC,Building B,1286,5825.42,83.14,4.96,20.11,49.2,2,1,4.72,Medium,0
"b'(\x11\xe2\xacmLO\xe2\xb1\xf7\x83\xf2wH,o'",Boiler,Building A,850,4728.96,68.87,5.87,25.33,56.91,1,0,2.23,Low,0
b'Ex#\x979\x12K?\xa8\xd936.\x0e\x90\xdb',HVAC,Warehouse 2,1598,5770.68,81.67,1.95,19.96,62.97,2,1,0.25,Low,0
b'r\xa4t\xbe\xa5FL\xed\xb1U\x0f\xc5\x03l\x7f(',Generator,Warehouse 2,1112,5412.93,69.36,1.77,21.22,35.05,1,0,3.45,Medium,0
b'm\xe9\xc4\x8a\xbdxDD\x90\xe6K=\xaf\x83*\x02',Generator,Building A,1820,4528.96,77.32,0.83,12.96,78.77,4,0,3.0,Medium,0
b'V\x96\x0c\xdd\x13AC\x80\xad\x06\x89\xb1\r\x016\x9d',Boiler,Warehouse 1,1006,2962.92,90.7,2.55,19.98,58.12,0,0,0.25,Medium,0
b'l\x036\x9d\xd7kL\xbc\x93\xde\xd8\x8d\xc5\x11\xfe\x92',Boiler,Warehouse 2,1609,5322.72,66.73,3.78,27.66,87.73,1,1,4.06,Medium,0
b'\xce!}T8\xfdJ\xee\x93\x16\x04\xd9{\xbe\xb5\x9f',HVAC,Building C,1518,5224.09,75.13,3.15,16.13,88.16,3,1,1.98,Medium,0
b'\xfdCJ\x14\x9f:H)\xa4\x9f\x1c\xa4\x88\x11gY',Pump,Warehouse 2,731,5872.32,76.83,6.28,15.96,46.64,0,0,1.25,High,0
b'p~\x8f_6:K\x8c\x82\xc1\x01\x08\xf9\x14J!',Elevator,Warehouse 1,1789,6032.6,56.9,0.13,21.81,78.83,1,1,4.84,Medium,0
b'\x84\xdd*t\xa9uL\xe6\x9a\x13Z\xd9\x81$\xfe\x85',Elevator,Building C,1593,5741.96,89.77,4.05,19.34,81.96,0,0,0.05,Medium,0
b'S\xadw+/Q@\xf3\xa2g\xde\xfa\x1e\xbe#\xab',Elevator,Building B,633,6179.44,70.31,0.43,26.77,88.19,3,0,0.64,Low,0
b'\xcf\x05A\xed\xf6\xcd@\x0e\x88\xeaz\x07\xd7\xa7{\x8e',Elevator,Warehouse 1,1346,5005.24,75.47,2.32,23.11,57.03,0,1,6.16,Medium,0
b'>\xa3\xd7\xc5\xb1[FT\x89\x13}\xdd\x0b\x92\x93}',Pump,Warehouse 2,1342,3631.41,80.35,4.59,27.71,51.49,0,0,2.23,Low,0
b'\xc5\x0e\x1b\xf7E\xd6C=\xbf\xabD\xdb\xe9\xc5\xca\xac',Generator,Building A,1667,6551.15,76.16,4.77,20.34,63.11,2,1,0.29,Medium,0
"b""^\xaf\n\x8e?\x85@\x8d\x9aw\xad8\x7f\\\xbb'""",Boiler,Building A,1263,6489.05,83.78,2.35,18.29,30.87,1,0,1.0,Medium,0
b'\x139l\xcf\xdfQA\xaf\x96E6\xf6\xdb\xfe\xc2\xb9',HVAC,Warehouse 2,474,5886.06,73.63,3.3,9.15,77.02,2,1,5.97,Low,0
"b'y\x1f\xcd\x8eL~G,\xaf\xe0\x9e\xc8\xe3>0\x94'",Generator,Warehouse 2,1367,3296.62,74.44,3.58,19.84,59.56,1,1,0.55,Medium,0
b'Q\x02\x97\xe0\xb0\xc9E\xb3\x81\xebZ\x82\xaa{j\x06',Generator,Warehouse 1,807,5366.6,65.6,2.23,14.7,83.81,2,1,0.43,Medium,0
b'\xdbG\x0b\xacs\xcdJA\xbd\xac\xf5_k\xbe\x9c\xc3',Pump,Building B,926,4184.5,69.41,0.85,19.04,51.86,2,0,3.21,Low,0
b'\x98\xc9\xea\xed\xec\xedLT\x9e\x96QCX_\xc20',Elevator,Warehouse 1,678,4300.27,77.14,2.83,18.9,78.37,1,1,0.47,Low,0
b'5\xc5\x04\x18\x96\x89@`\x87\xd9\xb0t\x05\xcd\xfc\\',Elevator,Warehouse 2,1134,4724.95,51.98,0.73,26.83,57.75,1,0,0.58,Low,0
b'\xe0H\xe3w\xad\xb7GI\x8a\xac\xf6\xeb\xfa\x1cu\xa9',Boiler,Building C,1689,5576.56,78.11,7.62,25.6,36.43,2,1,0.63,Low,0
b'\x003\xbc\x90\x8e\xdaB\x9a\x82\xd6\xc5\xf8\x8a\xda\x11\n',Elevator,Building B,1789,4813.09,74.52,1.41,16.73,49.65,0,0,4.42,Low,0
"b'Gs(\xe1z\xea@\xc9\xa1\x92G\xd5%\xd5,\x1e'",Boiler,Building B,776,6687.14,83.82,2.99,27.4,35.22,3,0,0.27,Low,0
b'\x8f\x05\xcfF\x9f\x8aOy\xbda\x1f-gZi\xc2',HVAC,Building A,689,4124.38,61.17,4.39,29.55,51.37,2,1,0.21,Low,0
"b'P\xa1[\x81\xb6\rK\xce\xa7,zvx-M\x1b'",Elevator,Building A,1159,4541.89,68.74,2.43,17.93,47.11,0,1,4.54,High,0
b'z\xfdT\x91\x02\x99F\xeb\xae-o!\xafCr]',Pump,Warehouse 2,635,5048.52,66.69,3.41,19.75,36.72,4,1,0.37,Medium,0
b'\xb8p\x0eb(\xf8N_\x89\xa6\x15\xbfu\x9c\xd3\xd0',Pump,Warehouse 1,1447,5528.32,77.08,6.06,28.1,46.8,1,1,0.78,Medium,0
"b""\xd2'+\x9f\x86\xb5OM\xa5\x05\x11\x9c\xa4\xae\xa4i""",Generator,Warehouse 1,1712,5279.76,47.59,2.31,18.47,66.64,1,1,0.34,Low,0
b'{\xfa\xeb\x91\x85\x80Az\xba\x18\xc6r\xcav\x84\x19',Boiler,Building A,1623,7783.78,58.89,2.78,17.96,38.06,0,0,9.2,Low,0
b'\xcd\x7f\xb8\x89\x17\x06@\\\xb3\x02L\xddM\xc0Ih',Pump,Building C,1033,6006.29,69.23,4.25,14.35,75.61,2,1,0.86,Low,0
b'\xec\xa2\x04\x16\x1b\xa8DV\x86\xad\x18\xbctJj\x8f',Boiler,Building A,574,5169.73,75.89,3.73,27.9,80.51,0,1,3.17,Low,0
b'\x88\xfa\xf8\xaa\xa8\xbfA\x18\x8bDq\xe4\xa4\xfdc\xed',Generator,Building C,725,4512.39,70.67,3.59,17.9,69.91,1,0,4.19,Low,0
b'%\xca\x92H\xc7\xcbE\xba\xaeVZ\x172\xee3l',Generator,Warehouse 1,1116,6201.21,70.92,-0.06,14.96,57.76,2,0,0.53,Medium,0
"b""2\xf2E\xb4)bO\xbc\xb2'\xb3_|\xda\x8b\xef""",Elevator,Warehouse 2,1045,4760.82,83.23,4.34,20.48,67.45,0,0,5.62,Low,0
b'/\xfc/\xb0B\xa9N!\x90VU/\xb4&C\x10',Pump,Building B,559,3521.41,86.44,3.51,17.92,67.2,3,1,0.75,Low,1
b'^z \x9c\x98#C\x94\x91OK|v\xf5Q\xb8',Pump,Building C,1332,5830.34,66.44,3.11,17.61,75.75,3,1,3.75,Low,0
b'\xa4N7M\x82\x83B5\xbc\n\xf8\xfb\n\xed\x8dl',HVAC,Warehouse 1,1797,4730.13,65.21,2.33,21.89,43.76,4,0,0.58,Medium,0
"b'`\xd7\xabJ;KH\x8b\xb5""\xbf\xdb\x07\x05\xb4\t'",HVAC,Building A,439,3941.61,69.87,3.26,24.18,54.05,2,0,1.76,Low,0
b'\xbb\xd1i\xd5\xfe\xbaG\xa4\x92<\xee\x8bg\x89\xd1\xa5',Pump,Building A,1002,7445.75,76.29,3.16,23.63,71.8,2,1,1.72,Low,0
b'+G\x02\x98\xa6\xb8MC\xb5C\x1d\xaf\x98\x0c\x95\x8f',Boiler,Building A,690,3658.55,93.87,3.28,20.5,85.53,1,0,8.38,Low,0
b'UB\x9c\x9f\xbe9B\xfb\x8ba\x0fp\xc3\xc5\x1a\xb7',Generator,Warehouse 2,836,7538.69,80.24,2.12,19.33,50.11,1,0,0.81,Low,0
b'u2\xfb\x86\xcc\xb6G>\x86^4XK`\x1c\x8b',Elevator,Building A,807,5852.25,51.79,2.66,23.14,50.82,2,0,1.2,Low,0
b'\xb9~4\x16mrLO\x99\x8f\xe4\x17\xe8\x00#/',Pump,Building C,1724,4754.26,72.27,-1.05,19.73,84.89,1,1,2.0,Medium,0
b'\x19\xee\xdf\xd8\x9fOG\x89\xad\xc5\xae\xf2\x93*\xf5S',HVAC,Warehouse 1,422,4731.11,63.93,6.86,20.3,34.02,1,0,4.57,Low,0
b'\x00\x99={.z@W\xb4Y\xa4\xd2\x83\xdd\xe1\x10',Boiler,Building C,926,4426.34,69.53,2.95,17.28,63.89,0,1,2.99,Low,0
b'\x87\xae\xca\xd0*)E\x1f\x86\xd5_O5\x0e\x16\xe6',Boiler,Building C,1355,6388.58,48.41,-0.12,13.8,63.58,0,1,0.4,Medium,0
b'c \xf2\xa5GlC(\xa9\x16\xd5\xfc\xaf\x99\x0f\x84',Elevator,Warehouse 1,993,3592.49,67.22,1.33,28.76,31.52,0,0,2.52,Low,0
b'\x8a\xb3z.\xd6\x1cL\x12\xa7\xbe\xa2\xc1\xf6T\xadH',Generator,Building B,1113,4910.78,75.3,1.94,16.36,70.31,0,1,0.22,Low,0
b'\xa4\xfe\xd8\r\xa5\xeeG\xa7\x88\xaf\x1b~\xd2S1s',Boiler,Building C,1014,4475.48,79.89,1.17,23.56,35.97,1,0,3.87,Low,0
b'l\x90\x18H\xc3\xacLz\x87\x9f\x19\xa7\xe9\xd7\xbck',Pump,Warehouse 1,1015,4639.03,86.59,1.38,23.08,47.59,1,1,0.18,Low,0
b'1l\xa7\x0fW\x97A\xc2\x83)\x19\x8e\xa1&K\n',HVAC,Building A,1395,5326.13,62.49,4.39,19.08,79.05,1,1,0.96,Medium,0
b'\xba\xadl\xce\xd7JK5\x91J\x0cw\r\x1bGs',Generator,Warehouse 1,1017,3443.37,81.06,1.08,28.77,63.12,1,1,5.93,Low,0
b'\xa7D5\xc6{(L\x8c\x91\xc9\xc0\xc5\x18\x9e\x9d\x9a',Pump,Building C,1377,4455.08,78.99,2.94,25.52,83.67,2,1,0.63,Low,0
b'\xcb>\xe0\xd5\x14\xb7Eh\x95\x98\xcf\xf6\x94 \x17 ',Boiler,Building B,1545,7155.24,81.72,2.07,17.91,80.1,2,1,0.64,High,0
b'c\xdaK7\xc9\x9eF\x00\xb1A\xd9\xf7b\xb0\xa7}',Elevator,Building C,1493,5195.85,65.22,3.61,11.49,69.09,1,0,0.02,Low,0
b'\x15\xa7\xfb\xa3\x90\xe6G\xc3\x9fM\xfc\x97\x80\xb9Rm',HVAC,Warehouse 2,1399,5256.03,84.83,5.5,25.07,40.52,2,0,1.46,Medium,0
b'\x8a+\xf6\xe7\xcf\xfbA\xdf\xba\n\x89\x96%\xd5\xaf\x1a',Boiler,Building C,1140,4651.99,76.99,0.85,22.91,53.36,1,0,2.54,Low,0
"b""\xb5jw\xc6\xce8G\xea\x95S@\x97J'\x01G""",Pump,Building A,625,5573.97,57.46,6.12,18.48,86.21,1,0,0.06,Low,0
b'\xa5\xe6!b\x98\xc7O\x96\x86L_\x7f\x80;\rl',Boiler,Building C,1701,5607.57,59.81,2.99,16.71,65.81,2,1,0.16,Medium,0
b'\xdf\xa78\xa8/\x1eE\x8a\x83\xa0|N +\xa4\xa1',Boiler,Building B,693,4965.01,92.71,2.06,29.06,44.78,3,1,1.78,Medium,1
b'H\x15\xe1\xf2\xfb\x84E=\xa6h\xfe6\x16\x1d]\xc5',Pump,Building C,995,4272.86,72.52,2.89,23.1,41.11,4,0,2.36,Medium,0
b'\xdaWgg\xf0\xd3F\xd6\xa9\xe80/\x010`\x10',Generator,Building A,1596,4546.26,81.33,0.71,19.71,89.26,1,0,2.45,Low,0
b'j\x1c\xcc\x89\x91\x00NZ\xa9 >/P\xad\xfe\\',Pump,Warehouse 2,1139,5818.48,76.34,3.67,18.93,88.26,4,1,3.53,Medium,0
b'\xf5t\x19\x96\xb5ZC\xfb\x9e\xfd1v\x0f\xd6\x93\xcb',Pump,Building A,821,5096.12,70.38,2.35,18.45,34.62,2,0,0.14,Low,0
b'h\xa6\x16}C\x84A\x84\x9d\xc9d;Y\xc0C\x18',Boiler,Building B,880,5412.57,55.7,2.02,25.22,67.55,2,0,0.05,Low,0
"b'\xcfn\xb8,\xf9GOP\xa4\xd3a\xb8\x93\xbf\xd7!'",Generator,Warehouse 2,732,5082.28,85.65,2.22,27.05,58.79,4,1,1.09,Low,1
b'\x90\x96\x99\x0f\xcb`D\xef\xa3bF\xbf\x05\xb2Bg',Generator,Warehouse 1,449,4127.37,82.94,2.55,15.98,47.23,1,1,0.09,Low,0
b'\x8b\xccaw\xbegKn\xb8\xacE4]~\x1e\xd3',HVAC,Warehouse 1,753,3066.32,62.93,1.39,23.41,87.0,1,0,1.08,Low,0
b'vk\x17\x9cN\xffLf\xab\xc1\x13$\xff\x98&\x96',Boiler,Warehouse 2,437,7309.72,68.36,4.75,28.11,60.76,1,0,0.5,Medium,0
b'\x89\xff\xc2\x93\xb8;A\xc9\x9c=kr\xdf_u\xc7',Elevator,Warehouse 1,1067,5555.38,68.77,2.26,19.16,88.15,3,0,1.01,High,0
"b""H\xcf'\x15\x89x@\x9b\xbf)\xa3q\x04:\xb7\xae""",Pump,Warehouse 1,410,5795.91,85.49,3.52,18.12,43.47,1,1,1.8,Low,0
b'\x84p\xbb\x05\x8d\xeeM\xcc\x86\x11\xd7\x04\xa6\xb7\x80\xa3',HVAC,Building B,1344,4159.89,76.65,2.46,22.92,37.77,5,1,0.18,Medium,0
b'6D\x805UdJH\x9f\xbbmDk\xc7\x9f\xf7',Boiler,Building A,1161,3251.45,62.43,4.33,15.25,59.75,0,0,0.5,High,0
b')\xcb5\x13\xa2>Mo\x92\x1c\xd6V\x7f\xffp\xd4',Pump,Warehouse 2,621,4482.39,77.24,2.98,25.94,58.84,2,1,2.27,Low,0
b'v\xda\x89\x81J\x17B\xca\x8a\x08\x80\xc3\xb9\xbe8u',Elevator,Warehouse 2,1297,3360.6,79.63,3.36,21.53,69.51,5,0,1.93,Low,0
b';E\x9d:a\x9cM\x8e\xbf\x19:B\xe0=\x88\x9b',Boiler,Building B,471,4350.81,79.81,2.44,15.83,74.61,0,0,3.41,Low,0
b'\x14\x05\xea\xb5\x86\xadKi\xa1\x19x\xbcR\x858\xca',Boiler,Building B,789,5028.74,87.78,3.29,20.23,67.91,1,1,1.55,Low,0
b'\x13Y\x8c.\xbaXK\x94\xb8\x8a\xa6EO\xcd\xff\\',HVAC,Warehouse 1,442,4692.22,77.19,3.37,27.89,87.78,1,1,5.38,High,0
"b'\xe5``,\x9c\xe6D\xd6\xb3\xd8J\x08\xc5\x9d\x11\xe2'",Generator,Warehouse 2,795,4553.57,76.94,4.61,14.87,34.04,1,1,1.94,Low,0
b'u5w\xe8C\x83H8\x97\xf5\xbb\xc7\xd4FZ\x05',Boiler,Building B,1265,4441.08,78.77,5.35,19.67,71.0,1,0,11.7,Medium,0
"b""Z'\xa3;v?I\xc8\xbd\x87\xf3j\xcc\x90G7""",Generator,Warehouse 1,1329,3551.99,53.01,3.66,17.49,71.62,0,0,0.17,Low,0
b'\xa5\x8d\xa7\x92D_M$\x97\xcb\xb7\x93\xba\xdd\x8f\x10',Generator,Warehouse 2,978,6121.85,88.11,2.67,14.27,86.62,2,1,0.64,Low,0
b'\xb7\xb8\xa98\x1b\x1fN\xb9\x84\xaeb \xbbs\xe4\xd0',Generator,Building C,1019,4954.41,77.43,2.64,21.76,42.79,0,1,2.11,Medium,0
b'\xd6K\x17GA\xd6K\x82\x90\x00V\\_\xf6[\xbe',Elevator,Warehouse 2,1266,5950.5,71.57,3.76,19.86,41.13,5,0,0.28,Low,0
b'\xccW\xef\xdd%\xf3L\xa9\x92\xbf\xad\xb7\xcf4\xe4\x14',Pump,Warehouse 1,1261,6249.2,79.91,1.45,19.75,37.51,2,1,1.35,High,0
"b'\xb8b$\xb4)\x1dO\xb7\xb3,\x13m\xb8\xf8\x17\x1d'",Elevator,Warehouse 2,416,5128.1,68.19,4.26,16.74,48.62,1,1,0.15,Low,0
b'\t3J\x91;ML\x9b\xa5\xf4\x0e\xd7if\xd4z',Pump,Building A,770,4547.69,50.76,0.62,23.8,71.7,2,0,1.31,Low,0
b':9\xf7\xfe \xfa@\x19\xb0\x92\xa5W\xff\x88\x8c\xdd',Generator,Building C,915,4736.68,70.97,6.6,19.89,72.15,1,1,0.79,Medium,0
b'qQ=\x14\xf4\xd7N\x88\xb7\x9b:\x9a\xd5X\xbeW',Boiler,Warehouse 1,432,4123.68,75.38,2.6,19.57,34.71,1,0,1.68,Medium,0
b'\x85\x7f\x96\xde#\xaeA\xcf\xaf^\x82\xee\x86o\xef[',Elevator,Building C,369,5988.88,81.23,2.26,17.78,36.27,2,0,5.5,Medium,0
b'\x1a\xeb\xb6\xcf\xec\xcbI@\x9c\xaba\x81\xd7\xffn\x15',HVAC,Warehouse 1,1582,5059.63,68.53,4.05,21.97,72.85,2,0,0.17,Low,0
b'\xe6\n\xca\xe5e\\K8\x8aQY\x86\xca<\x12J',HVAC,Building C,1302,5114.53,84.5,2.7,26.59,68.61,2,1,0.12,Low,0
b'<\x04\xefx8\xd5I\xc0\xbb-\x87f\xffC}\x80',Elevator,Building B,1569,4348.58,70.16,2.52,22.12,88.55,1,0,3.12,Low,0
b'\x0b\xf0\xde\x9b\xa4\xd2M\xea\x8e\xe7\xd2\xe6\xe4k~\xbe',Boiler,Building B,1486,4975.65,96.42,5.59,22.18,43.71,3,1,2.28,Medium,1
b'\xcaKO\xb6\x9fuJ\x1e\x90n\x0c*7\xbf\xd62',Pump,Building C,836,4742.62,58.31,3.6,23.24,74.56,1,1,0.93,High,0
b'B\x0c\xf2\x88\xa0\x86M\xf2\x86\xcdR\xd3\xf8\xafj\x1a',Generator,Warehouse 1,817,5224.45,85.47,5.53,17.71,59.2,3,0,1.79,High,1
b'\xd1#5\x92^\x89A\x07\xa1!\xa8\xa2\x93Q\xaa\xe8',Pump,Building A,1479,6476.54,88.8,2.06,21.98,72.95,1,1,0.54,High,0
b'k\xab\xb1\xb0\x15\x1eC\xae\xb0pabT\xd9K\xc9',Generator,Building A,397,4974.45,86.73,3.82,18.15,56.72,1,0,1.8,Low,0
b'\xf4p!\x05\xc6*@\x97\x86\x9e\x91\x03\x13wI\xef',HVAC,Warehouse 2,737,4637.56,63.8,1.06,25.8,76.41,0,0,7.0,Medium,0
"b'\xd7+5\xf7""\x1aMg\x9f\x13\xbe\x9f\x9b\x04\xf3h'",Generator,Building B,896,3444.1,72.28,-0.14,21.27,79.73,1,0,1.92,High,0
"b'""h\xf6\xef7hD\xaa\x88w2r\x9f\x87\x8e\x9a'",HVAC,Building C,674,4161.61,80.21,4.27,26.11,58.48,4,0,0.24,Low,0
b'\xad\x93_\xc6\x8a\x94K\x8a\xb2\xde\x9c\xedw\xe2A\xc4',Generator,Building C,734,4928.4,74.63,4.09,20.26,32.36,0,1,1.2,Low,0
b'MF\x1b\xc2{J@\x9a\xa1\xff\x0b\xc1+:\xf9\xb2',Generator,Building B,1450,4810.01,79.48,2.12,20.05,38.9,2,1,6.07,Medium,0
"b""\xcft\xd4]\xc9\xb8I\xfd\xb9aD\xaa\xef*\xe6'""",Generator,Building A,1141,5916.33,78.46,4.5,5.52,59.33,1,1,0.06,High,0
b'DV\xf797\xb9I\xe3\xb2\xcc\xd2s\x90\xebg|',Boiler,Building C,1693,6108.18,64.6,3.92,14.73,88.19,0,0,2.23,Low,0
b'2\x83\x82F\xe3\xf6J.\x91\x1a\xa7\xc2TWW\xc5',Generator,Warehouse 2,1269,6073.09,73.36,3.82,15.41,80.29,3,0,4.06,Medium,0
b'G+tb)`J\xb6\xa0\xb4\x1ak)P\x03\x92',Pump,Building A,921,4551.08,75.67,3.3,22.25,70.59,0,0,2.15,Medium,0
b'\x92\xdf#\xf4\xaf\x83@\xac\xac\xc9;)jh\xb8\xeb',Pump,Building C,877,6633.43,63.54,3.45,16.23,89.96,0,0,7.56,Low,0
